"Season","Name","WAR","playerid"
"1998","Tony Phillips","0.8","1010300"
"2009","Adam Lind","3.3","8027"
"2007","Matt Stairs","1.4","1384"
"2015","Chris Colabello","0.8","13051"
"2000","Shannon Stewart","4.9","1322"
"2006","Reed Johnson","4.4","1702"
"1995","Candy Maldonado","0.1","1008015"
"1994","Mike Huff","1.4","1006145"
"1992","Candy Maldonado","2.3","1008015"
"2001","Shannon Stewart","3.6","1322"
"2015","Danny Valencia","0.7","6364"
"2006","Frank Catalanotto","2.6","1241"
"2002","Shannon Stewart","3.2","1322"
"2005","Frank Catalanotto","1.9","1241"
"2012","Travis Snider","0.0","2830"
"1998","Shannon Stewart","3.1","1322"
"2003","Frank Catalanotto","1.7","1241"
"1998","Jose Canseco","1.3","1001918"
"2014","Melky Cabrera","2.5","4022"
"1999","Shannon Stewart","1.6","1322"
"1997","Shawn Green","1.5","651"
"2016","Michael Saunders","1.4","9981"
"2001","Chris Latham","0.5","882"
"2008","Travis Snider","0.4","2830"
"1993","Joe Carter","2.0","1002018"
"2003","Reed Johnson","0.9","1702"
"1994","Carlos Delgado","-0.5","1297"
"2003","Shannon Stewart","0.7","1322"
"2000","Andy Thompson","0.0","1013000"
"1993","Rob Butler","0.7","1001783"
"1996","Robert Perez","-0.6","1010186"
"2009","Jose Bautista","1.8","1887"
"1997","Rich Butler","0.0","1001782"
"2011","Eric Thames","0.6","3711"
"1997","Jose Cruz","0.4","1296"
"1996","Joe Carter","-0.6","1002018"
"2010","Travis Snider","1.2","2830"
"2010","Fred Lewis","0.4","4693"
"2009","Travis Snider","-0.2","2830"
"2002","Jose Cruz","2.4","1296"
"2005","Reed Johnson","1.4","1702"
"2008","Adam Lind","0.0","8027"
"2014","Dalton Pompey","0.2","12797"
"2004","Frank Catalanotto","0.0","1241"
"2015","Ben Revere","0.3","4712"
"1993","Rickey Henderson","0.4","194"
"2009","Joe Inglett","-0.1","7254"
"1995","Joe Carter","-0.5","1002018"
"1998","Felipe Crespo","-0.2","1002763"
"1992","Derek Bell","0.7","1000801"
"1993","Darnell Coles","-0.9","1002436"
"2002","Jayson Werth","0.3","1327"
"2004","Reed Johnson","0.5","1702"
"1999","Anthony Sanders","-0.1","1011412"
"2013","Rajai Davis","1.1","3708"
"2015","Ezequiel Carrera","0.2","9048"
"2014","Kevin Pillar","0.7","12434"
"2013","Melky Cabrera","-0.8","4022"
"2005","Gabe Gross","-0.1","2184"
"2016","Ezequiel Carrera","0.7","9048"
"2013","Anthony Gose","-0.4","5097"
"2012","Rajai Davis","0.2","3708"
"2000","Marty Cordova","-1.5","132"
"2008","Kevin Mench","0.0","1261"
"1997","Joe Carter","-1.4","1002018"
"2011","Juan Rivera","-0.4","843"
"2007","Adam Lind","0.3","8027"
"1999","Patrick Lennon","-0.3","1007527"
"2011","Corey Patterson","-0.1","300"
"2008","Shannon Stewart","-0.2","1322"
"2012","Eric Thames","-0.7","3711"
"2004","Gabe Gross","-0.1","2184"
"2007","Reed Johnson","-0.7","1702"
"1993","Willie Canate","0.1","1001904"
"2008","Brad Wilkerson","-0.8","804"
"1993","Turner Ward","-0.4","1013625"
"2004","Dave Berg","-1.4","1288"
"2011","Travis Snider","0.0","2830"
"1998","Juan Samuel","-0.5","1011400"
"1994","Darnell Coles","-0.2","1002436"
"2008","Buck Coats","0.1","2945"
"2006","Chad Mottola","-0.3","1315"
"2013","Kevin Pillar","0.0","12434"
"2016","Melvin Upton Jr.","-0.3","5015"
"1997","Ruben Sierra","-0.2","1099"
"1997","Jacob Brumfield","-0.3","1001583"
"2015","Michael Saunders","-0.1","9981"
"2000","Rob Ducey","-0.2","1003520"
"2004","Simon Pond","-0.4","1898"
"2001","Brian Simmons","-0.3","1011979"
"1997","Robert Perez","-0.3","1010186"
"2010","Jeremy Reed","0.0","4730"
"1995","Carlos Delgado","-0.7","1297"
"1994","Rob Butler","-0.9","1001783"
"2015","Jonathan Diaz","0.0","4142"
"1995","Robert Perez","-0.3","1010186"
"1999","Rob Butler","-0.2","1001783"
"2009","Russ Adams","-0.2","4519"
"2000","DeWayne Wise","-0.1","1554"
"2016","Darrell Ceciliani","-0.5","9954"
"2009","David Dellucci","-0.5","1402"
"1994","Robert Perez","-0.1","1010186"
"1994","Shawn Green","-0.7","651"
"2004","Chad Hermansen","-0.2","991"
"2016","Dalton Pompey","0.0","12797"
